	mean1	mean2	mean3	sd1	sd2	sd3	country	species	n_mosquito_targets	sample_set	contributor	location	year	month	latitude	longitude	sex_call	aim_species	taxon
VBS02065-4431STDY6672933	-75.54933	16.701448000000003	-30.726044	-51.598859999999995	-29.737206	-23.999916	Mali	Anopheles_coluzzii	55	AG1000G-ML-B	Nora Besansky	Douna	2004	8.0	13.21	-5.9	F	coluzzii	coluzzii
BL0110-C	-92.65257	-24.100174	-7.093524	-46.286606	-38.70299	-23.414886	Tanzania	Anopheles_gambiae	62	AG1000G-TZ	Bilali Kabula	Muleba	2015	3.0	-1.962	31.651	M	gambiae	gambiae
AC0033-Cx	-76.65077	-73.528244	31.931305	-37.50255	-50.88824	-24.473871	Uganda	Anopheles_arabiensis	61	AG1000G-UG	Martin Donnelly	Nagongera	2012	10.0	0.77	34.025999999999996	F	arabiensis	arabiensis
AA0123-C	-68.921425	16.984661	-28.641803999999997	-48.697685	-27.749613	-22.353146	Ghana	Anopheles_coluzzii	62	AG1000G-GH	David Weetman	Twifo Praso	2012	9.0	5.609	-1.5490000000000002	F	coluzzii	coluzzii
AS0056-C	-74.48989	-26.171870000000002	0.06307728	-36.578876	-33.38133	-18.431843	Gabon	Anopheles_gambiae	62	AG1000G-GA-A	Joao Pinto	Libreville	2000	12.0	0.384	9.455	F	gambiae	gambiae
AN0604-CW	-55.254528	28.80687	-32.8512	-46.964016	-24.015242	-20.449089999999998	Cameroon	Anopheles_coluzzii	61	AG1000G-CM-C	Brad White	Yaounde	2013	10.0	3.88	11.505999999999998	F	coluzzii	coluzzii
AA0135-C	-74.50755	22.847808999999998	-34.955704	-54.429276	-29.375439	-24.96176	Ghana	Anopheles_coluzzii	62	AG1000G-GH	David Weetman	Twifo Praso	2012	9.0	5.609	-1.5490000000000002	F	coluzzii	coluzzii
VBS02050-4431STDY6672918	-91.235504	9.116391	-29.388209999999997	-56.904926	-34.974470000000004	-27.159035	Mali	Anopheles_coluzzii	62	AG1000G-ML-B	Nora Besansky	Douna	2004	8.0	13.21	-5.9	F	coluzzii	coluzzii
AZ0157-C	-84.40104000000001	-81.74696	35.444214	-41.2059	-56.279095	-27.380318	Malawi	Anopheles_arabiensis	62	AG1000G-MW	Martin Donnelly	Chikhwawa	2015	5.0	-15.933	34.755	F	arabiensis	arabiensis
AR0095-C	-63.443516	33.846165	-38.949585	-53.46441	-27.18283	-24.07444	Angola	Anopheles_coluzzii	62	AG1000G-AO	Joao Pinto	Luanda	2009	4.0	-8.884	13.302	F	coluzzii	coluzzii
AC0055-C	-78.92945999999999	-71.30646999999999	30.233177	-37.963840000000005	-49.507343	-24.169752	Uganda	Anopheles_arabiensis	61	AG1000G-UG	Martin Donnelly	Nagongera	2012	10.0	0.77	34.025999999999996	F	arabiensis	arabiensis
BL0254-C	-73.01872	-70.543785	30.972815999999998	-36.284279999999995	-49.241077000000004	-23.163116	Tanzania	Anopheles_arabiensis	61	AG1000G-TZ	David Weetman	Moshi	2012	8.0	-3.4819999999999998	37.308	F	arabiensis	arabiensis
AC0281-C	-95.59775	-22.525885	-9.2621565	-48.130676	-39.18084	-24.463639999999998	Uganda	Anopheles_gambiae	62	AG1000G-UG	Martin Donnelly	Kihihi	2012	11.0	-0.7509999999999999	29.701	F	gambiae	gambiae
AG0020-C	-90.62271	2.9581575	-25.013248	-53.749763	-34.848038	-26.005224	Gambia, The	Anopheles_coluzzii	62	AG1000G-GM-C	Charles Godfray	Wali Kunda	2012	10.0	13.567	-14.917	F	coluzzii	gcx2
AC0052-Cx	-80.62691	-76.03690999999999	32.80038	-39.293396	-52.597317000000004	-25.632088	Uganda	Anopheles_arabiensis	62	AG1000G-UG	Martin Donnelly	Nagongera	2012	10.0	0.77	34.025999999999996	F	arabiensis	arabiensis
BP0067-C	-77.6904	-24.319546	-2.2872615	-38.919952	-34.35014	-19.336835999999998	Democratic Republic of Congo	Anopheles_gambiae	62	AG1000G-CD	David Weetman	Gbadolite	2015	7.0	4.283	21.017	M	gambiae	gambiae
AV0222-C	-94.40241999999999	-23.586733	-8.11167	-47.234814	-38.873882	-24.052382	Guinea	Anopheles_gambiae	62	AG1000G-GN-B	Ken Vernick	Koundara	2012	10.0	8.48	-9.53	M	gambiae	gambiae
AY0076-C	-77.17027	18.764612	-32.821358000000004	-53.241955000000004	-30.063461	-25.07297	Cote d'Ivoire	Anopheles_coluzzii	59	AG1000G-CI	David Weetman	Tiassale	2012	-1.0	5.898	-4.823	F	coluzzii	coluzzii
AC0043-C	-82.3727	-75.965965	32.2757	-39.613163	-52.356907	-25.823902	Uganda	Anopheles_arabiensis	62	AG1000G-UG	Martin Donnelly	Nagongera	2012	10.0	0.77	34.025999999999996	F	arabiensis	arabiensis
AC0050-Cx	-81.14275	-75.92697	32.534554	-39.304733	-52.361744	-25.638346	Uganda	Anopheles_arabiensis	62	AG1000G-UG	Martin Donnelly	Nagongera	2012	10.0	0.77	34.025999999999996	F	arabiensis	arabiensis
AQ0012-C	-80.95576	-31.415955	2.0160716	-38.793929999999996	-36.335696999999996	-19.624168	Equatorial Guinea	Anopheles_gambiae	62	AG1000G-GQ	Igor Sharakhov	Bioko	2002	9.0	3.7	8.7	F	gambiae	gambiae
BP0047-C	-93.42912	-23.215237	-8.021861	-46.817738	-38.690155	-23.725224	Democratic Republic of Congo	Anopheles_gambiae	61	AG1000G-CD	David Weetman	Gbadolite	2015	7.0	4.283	21.017	M	gambiae	gambiae
AR0018-Cx	-57.780502	24.889225	-30.879713	-46.385666	-24.083801	-20.44547	Angola	Anopheles_coluzzii	61	AG1000G-AO	Joao Pinto	Luanda	2009	4.0	-8.884	13.302	F	coluzzii	coluzzii
BK0025-C	-68.48169	18.623829	-29.884102000000002	-49.251670000000004	-27.498866999999997	-22.52025	Central African Republic	Anopheles_coluzzii	62	AG1000G-CF	Alessandra della Torre	Bangui	1994	1.0	4.367	18.583	F	coluzzii	coluzzii
AV0347-C	-88.615616	-26.31135	-4.3053446	-43.11714	-37.1653	-22.514992000000003	Mali	Anopheles_gambiae	59	AG1000G-GN-B	Ken Vernick	Toumani Oulena	2012	10.0	10.83	-7.81	F	gambiae	gambiae
AA0139-C	-90.86556	8.287201	-28.468421999999997	-56.345473999999996	-35.024982	-26.776281	Ghana	Anopheles_coluzzii	62	AG1000G-GH	David Weetman	Madina	2012	11.0	5.667999999999999	-0.21899999999999997	F	coluzzii	coluzzii
BK0033-C	-75.09383000000001	-30.114684999999998	2.6297490000000003	-35.946090000000005	-34.058537	-18.207623	Central African Republic	Anopheles_gambiae	62	AG1000G-CF	Alessandra della Torre	Bangui	1994	1.0	4.367	18.583	F	gambiae	gambiae
AN0622-CW	-65.48439	20.462318	-30.311363	-48.40193	-26.291718	-22.159613	Cameroon	Anopheles_coluzzii	61	AG1000G-CM-C	Brad White	Nkolondom	2013	10.0	3.972	11.515999999999998	F	coluzzii	coluzzii
AC0130-C	-92.47373	-33.759235	0.27309352	-43.863884000000006	-40.408382	-22.52843	Uganda	Anopheles_gambiae	62	AG1000G-UG	Martin Donnelly	Nagongera	2012	10.0	0.77	34.025999999999996	F	gambiae	gambiae
AY0040-C	-91.28005999999999	2.2483814	-24.688835	-53.793888	-35.119609999999994	-26.071625	Cote d'Ivoire	Anopheles_coluzzii	62	AG1000G-CI	David Weetman	Tiassale	2012	-1.0	5.898	-4.823	F	coluzzii	coluzzii
AV0351-C	-87.12085	-18.419907000000002	-9.651196	-44.61493	-35.517765000000004	-22.595370000000003	Mali	Anopheles_gambiae	60	AG1000G-GN-B	Ken Vernick	Toumani Oulena	2012	10.0	10.83	-7.81	F	gambiae	gambiae
AC0022-C	-86.99419	-78.23066999999999	32.867233	-41.303635	-53.760493999999994	-26.927684999999997	Uganda	Anopheles_arabiensis	62	AG1000G-UG	Martin Donnelly	Nagongera	2012	10.0	0.77	34.025999999999996	F	arabiensis	arabiensis
VBS02031-4431STDY6672899	-80.31241	-19.188579999999998	-7.142884	-40.90605	-33.63798	-20.669167	Cameroon	Anopheles_gambiae	59	AG1000G-CM-B	Nora Besansky	Gada Mabanga	2005	-1.0	7.354	13.578	F	gambiae	gambiae
AQ0004-C	-74.316216	-21.092087	-3.5547230000000005	-37.892647	-32.85686	-18.765829999999998	Equatorial Guinea	Anopheles_gambiae	62	AG1000G-GQ	Igor Sharakhov	Bioko	2002	9.0	3.7	8.7	F	gambiae	gambiae
AC0111-Cx	-96.7902	-25.496094	-7.3874197	-47.728256	-39.816708	-24.628353	Uganda	Anopheles_gambiae	62	AG1000G-UG	Martin Donnelly	Nagongera	2012	10.0	0.77	34.025999999999996	F	gambiae	gambiae
AN0341-C	-79.06282	-65.553635	26.24199	-37.11405	-46.17067	-22.586687	Cameroon	Anopheles_arabiensis	61	AG1000G-CM-C	Brad White	Lagdo	2013	10.0	9.049	13.655999999999999	F	arabiensis	arabiensis
AG0169-C	-76.86655	-8.027355	-13.569445000000002	-42.522163	-31.04337	-21.166864	Gambia, The	Anopheles_gambiae	61	AG1000G-GM-A	Martin Donnelly	Njabakunda	2011	9.0	13.55	-15.9	F	gambiae	gcx1
AN0479-C	-93.046646	-34.763040000000004	0.7792893	-43.694283	-40.548747999999996	-22.700249	Cameroon	Anopheles_gambiae	62	AG1000G-CM-B	Nora Besansky	Dolla	2005	-1.0	9.437999999999999	13.594000000000001	F	gambiae	gambiae
AA0046-C	-77.3559	-14.9881935	-9.022335	-40.770905	-32.304429999999996	-20.246544	Ghana	Anopheles_gambiae	60	AG1000G-GH	David Weetman	Koforidua	2012	11.0	6.093999999999999	-0.261	F	gambiae	gambiae
AA0103-C	-69.67043000000001	11.592833500000001	-24.428755	-47.053993	-28.053	-21.597412	Ghana	Anopheles_coluzzii	62	AG1000G-GH	David Weetman	Takoradi	2012	8.0	4.912	-1.774	F	coluzzii	coluzzii
AG0082-C	-79.59563	2.1680717	-21.256016	-47.632057	-31.1869	-22.960567	Gambia, The	Anopheles_gambiae	62	AG1000G-GM-A	Martin Donnelly	Njabakunda	2011	8.0	13.55	-15.9	F	gambiae	gcx1
AV0384-C	-84.082596	-31.040958000000003	0.7512079	-39.952103	-36.91601	-20.652428	Mali	Anopheles_gambiae	57	AG1000G-GN-B	Ken Vernick	Toumani Oulena	2012	10.0	10.83	-7.81	F	gambiae	gambiae
AR0060-C	-64.22397	29.656409999999997	-36.193775	-52.03853	-26.498490000000004	-23.35401	Angola	Anopheles_coluzzii	62	AG1000G-AO	Joao Pinto	Luanda	2009	4.0	-8.884	13.302	F	coluzzii	coluzzii
AN0091-C	-87.33285500000001	-18.903835	-9.374241	-44.96118	-36.079372	-22.437904	Cameroon	Anopheles_gambiae	60	AG1000G-CM-A	Nora Besansky	Gado Badzere	2009	9.0	5.747000000000001	14.442	F	gambiae	gambiae
AG0089-C	-80.67882	-4.5444	-17.152596	-45.624336	-31.925777000000004	-22.68394	Gambia, The	Anopheles_gambiae	62	AG1000G-GM-A	Martin Donnelly	Njabakunda	2011	8.0	13.55	-15.9	F	gambiae	gcx1
BK0055-C	-78.77087	-18.733242	-6.55755	-40.766697	-33.490402	-20.158592000000002	Central African Republic	Anopheles_gambiae	62	AG1000G-CF	Alessandra della Torre	Bangui	1994	1.0	4.367	18.583	F	gambiae	gambiae
AP0035-C	-92.61709599999999	-40.59279	5.312222	-42.918205	-41.574047	-22.045961	Mayotte	Anopheles_gambiae	61	AG1000G-FR	Igor Sharakhov	Sada	2011	-1.0	-12.852	45.104	M	gambiae	gambiae
BQ0060-C	-86.491844	-41.19214	7.400569	-39.980740000000004	-40.033879999999996	-20.360733	Mozambique	Anopheles_gambiae	61	AG1000G-MZ	Joao Pinto	Furvela	2004	2.0	-23.715999999999998	35.299	F	gambiae	gambiae
AC0140-C	-94.13968	-27.052234999999996	-5.330533999999999	-46.165077000000004	-39.592420000000004	-23.555342	Uganda	Anopheles_gambiae	62	AG1000G-UG	Martin Donnelly	Nagongera	2012	10.0	0.77	34.025999999999996	F	gambiae	gambiae
VBS02072-4431STDY6672940	-85.76555	11.48468	-29.346212	-55.413074	-33.342213	-25.829266	Mali	Anopheles_coluzzii	62	AG1000G-ML-B	Nora Besansky	Douna	2004	8.0	13.21	-5.9	F	coluzzii	coluzzii
AC0269-C	-79.047104	-26.866084999999998	-0.55503124	-39.011466999999996	-35.21067	-19.405754	Uganda	Anopheles_gambiae	62	AG1000G-UG	Martin Donnelly	Kihihi	2012	11.0	-0.7509999999999999	29.701	F	gambiae	gambiae
AY0067-C	-77.06654	13.564269	-28.511796999999998	-51.407253000000004	-30.327370000000002	-23.994175	Cote d'Ivoire	Anopheles_coluzzii	60	AG1000G-CI	David Weetman	Tiassale	2012	-1.0	5.898	-4.823	F	coluzzii	coluzzii
AP0014-Cx	-94.363396	-53.632126	14.406531	-41.914097	-44.378820000000005	-23.093870000000003	Mayotte	Anopheles_gambiae	60	AG1000G-FR	Igor Sharakhov	Mont Benara	2011	-1.0	-12.857000000000001	45.155	M	gambiae	gambiae
AR0006-C	-68.4545	26.830198	-35.783756	-52.82216	-27.374409000000004	-24.06136	Angola	Anopheles_coluzzii	62	AG1000G-AO	Joao Pinto	Luanda	2009	4.0	-8.884	13.302	M	coluzzii	coluzzii
AS0006-C	-67.741135	-35.568607	8.163775	-32.4393	-33.6723	-16.254328	Gabon	Anopheles_gambiae	62	AG1000G-GA-A	Joao Pinto	Libreville	2000	12.0	0.384	9.455	F	gambiae	gambiae
AG0230-C	-65.1711	-0.64105046	-15.078263	-39.081016999999996	-27.145426	-18.733567999999998	Gambia, The	Anopheles_gambiae	61	AG1000G-GM-A	Martin Donnelly	Njabakunda	2011	10.0	13.55	-15.9	F	gambiae	gcx1
AG0226-C	-84.46306	-10.323097	-14.412589	-45.595028000000006	-33.589787	-22.995766	Gambia, The	Anopheles_gambiae	61	AG1000G-GM-A	Martin Donnelly	Njabakunda	2011	10.0	13.55	-15.9	F	gambiae	gcx1
AR0047-C	-68.247536	29.464340000000004	-37.204291999999995	-53.917159999999996	-27.591106	-24.408598	Angola	Anopheles_coluzzii	62	AG1000G-AO	Joao Pinto	Luanda	2009	4.0	-8.884	13.302	F	coluzzii	coluzzii
AS0047-C	-73.68699000000001	-21.360794	-3.1560376	-37.516329999999996	-32.569317	-18.516565	Gabon	Anopheles_gambiae	61	AG1000G-GA-A	Joao Pinto	Libreville	2000	12.0	0.384	9.455	F	gambiae	gambiae
BL0140-C	-78.78068499999999	-70.07431	29.338917	-37.566573999999996	-48.678978	-23.830973	Tanzania	Anopheles_arabiensis	61	AG1000G-TZ	Bilali Kabula	Muleba	2015	6.0	-1.962	31.651	F	arabiensis	arabiensis
AG0271-C	-75.967545	16.915606	-30.776822999999997	-52.27562	-29.96002	-24.32145	Gambia, The	Anopheles_coluzzii	62	AG1000G-GM-C	Charles Godfray	Wali Kunda	2012	10.0	13.567	-14.917	F	coluzzii	gcx2
AV0177-C	-79.55569	-27.327140000000004	-0.6836795	-38.733894	-35.070194	-19.699254999999997	Guinea	Anopheles_gambiae	61	AG1000G-GN-B	Ken Vernick	Koundara	2012	10.0	8.48	-9.53	F	gambiae	gambiae
BQ0109-C	-104.60716	-32.313590000000005	-4.6016736	-50.038773	-43.645206	-26.190378	Mozambique	Anopheles_gambiae	61	AG1000G-MZ	Joao Pinto	Furvela	2004	4.0	-23.715999999999998	35.299	F	gambiae	gambiae
BL0117-C	-71.94633499999999	-35.639736	7.224802499999999	-33.198204	-33.999508	-17.288510000000002	Tanzania	Anopheles_gambiae	58	AG1000G-TZ	Bilali Kabula	Muleba	2015	6.0	-1.962	31.651	F	gambiae	gambiae
AG0085-C	-86.07066	-2.6140854	-20.073202	-49.3329	-33.666367	-24.377731	Gambia, The	Anopheles_gambiae	62	AG1000G-GM-A	Martin Donnelly	Njabakunda	2011	8.0	13.55	-15.9	F	gambiae	gcx1
AA0041-C	-91.143814	11.2862215	-30.849012	-58.127552	-35.208729999999996	-27.395803000000004	Ghana	Anopheles_coluzzii	62	AG1000G-GH	David Weetman	Twifo Praso	2012	9.0	5.609	-1.5490000000000002	F	coluzzii	coluzzii
AA0104-C	-63.28066999999999	9.100288	-20.78929	-42.437329999999996	-26.10001	-19.606151999999998	Ghana	Anopheles_coluzzii	61	AG1000G-GH	David Weetman	Takoradi	2012	8.0	4.912	-1.774	F	coluzzii	coluzzii
AV0012-C	-75.9373	-21.887762	-3.5387852	-38.114506	-33.071907	-19.174528	Guinea	Anopheles_gambiae	61	AG1000G-GN-A	Ken Vernick	Koraboh	2012	10.0	9.28	-10.03	F	gambiae	gambiae
AN0603-CW	-64.35526999999999	13.912580499999999	-24.425179	-45.34816	-26.415377000000003	-20.594126	Cameroon	Anopheles_coluzzii	61	AG1000G-CM-C	Brad White	Yaounde	2013	10.0	3.88	11.505999999999998	F	coluzzii	coluzzii
AR0026-C	-77.18701	19.571266	-33.376656	-53.949265000000004	-30.282047	-25.076887	Angola	Anopheles_coluzzii	60	AG1000G-AO	Joao Pinto	Luanda	2009	4.0	-8.884	13.302	F	coluzzii	coluzzii
AS0026-C	-77.69400999999999	-32.729209999999995	3.8070597999999998	-36.78047	-35.388329999999996	-18.677296	Gabon	Anopheles_gambiae	62	AG1000G-GA-A	Joao Pinto	Libreville	2000	12.0	0.384	9.455	F	gambiae	gambiae
AZ0170-C	-77.624954	-68.976395	28.929029999999997	-36.9028	-47.793552000000005	-23.63515	Malawi	Anopheles_arabiensis	61	AG1000G-MW	Martin Donnelly	Chikhwawa	2015	5.0	-15.933	34.755	F	arabiensis	arabiensis
AK0299-C	-79.28753	-73.19032	31.225468	-38.225563	-50.621635	-24.740103	Kenya	Anopheles_arabiensis	61	AG1000G-KE	Janet Midega	Kilifi	2007	-1.0	-3.511	39.909	F	arabiensis	arabiensis
AG0139-C	-84.00874	-7.9396377000000005	-15.815902	-46.271679999999996	-33.30036	-23.108234	Gambia, The	Anopheles_gambiae	62	AG1000G-GM-A	Martin Donnelly	Njabakunda	2011	8.0	13.55	-15.9	F	gambiae	gcx1
BL0176-C	-80.91792	-70.80429000000001	29.439045	-38.223846	-49.119823	-24.290029999999998	Tanzania	Anopheles_arabiensis	61	AG1000G-TZ	Bilali Kabula	Muleba	2015	6.0	-1.962	31.651	F	arabiensis	arabiensis
AS0023-Cx	-73.68226999999999	-22.665672	-2.3701656000000004	-36.735065000000006	-32.26225	-18.667952	Gabon	Anopheles_gambiae	62	AG1000G-GA-A	Joao Pinto	Libreville	2000	12.0	0.384	9.455	F	gambiae	gambiae
AV0116-C	-79.80986999999999	-20.89426	-5.6814747	-40.152946	-33.59261	-20.550152	Guinea	Anopheles_gambiae	61	AG1000G-GN-B	Ken Vernick	Koraboh	2012	10.0	9.28	-10.03	F	gambiae	gambiae
AA0112-C	-84.405754	15.138589999999999	-31.947144	-55.944534	-32.811355999999996	-26.196945	Ghana	Anopheles_coluzzii	60	AG1000G-GH	David Weetman	Twifo Praso	2012	9.0	5.609	-1.5490000000000002	F	coluzzii	coluzzii
BQ0056-C	-108.96327	-47.859756	5.8310260000000005	-49.126488	-48.0423	-25.802279000000002	Mozambique	Anopheles_gambiae	61	AG1000G-MZ	Joao Pinto	Furvela	2004	2.0	-23.715999999999998	35.299	F	gambiae	gambiae
BP0056-C	-84.2256	-21.553316	-6.5520629999999995	-42.001459999999994	-34.845333000000004	-21.71444	Democratic Republic of Congo	Anopheles_gambiae	59	AG1000G-CD	David Weetman	Gbadolite	2015	7.0	4.283	21.017	M	gambiae	gambiae
AN0106-C	-75.90959000000001	-9.6423	-12.013558	-41.677654	-31.223978000000002	-20.569860000000002	Cameroon	Anopheles_gambiae	61	AG1000G-CM-A	Nora Besansky	Gado Badzere	2009	9.0	5.747000000000001	14.442	F	gambiae	gambiae
AV0356-C	-88.38364	-19.93015	-8.988601	-44.980095	-36.34316	-22.75059	Mali	Anopheles_gambiae	62	AG1000G-GN-B	Ken Vernick	Toumani Oulena	2012	10.0	10.83	-7.81	F	gambiae	gambiae
AA0094-C	-67.095825	-4.9919324000000005	-12.696826	-38.452717	-27.634901	-18.895998000000002	Ghana	Anopheles_gambiae	60	AG1000G-GH	David Weetman	Koforidua	2012	11.0	6.093999999999999	-0.261	F	gambiae	gambiae
AV0340-C	-90.57669	18.7848	-36.60832	-60.54396	-34.779724	-28.592463000000002	Mali	Anopheles_coluzzii	61	AG1000G-GN-B	Ken Vernick	Toumani Oulena	2012	10.0	10.83	-7.81	M	coluzzii	coluzzii
AQ0015-C	-68.56855999999999	-26.088348	1.7291805	-33.582775	-31.635534000000003	-16.823868	Equatorial Guinea	Anopheles_gambiae	62	AG1000G-GQ	Igor Sharakhov	Bioko	2002	9.0	3.7	8.7	F	gambiae	gambiae
BL0376-C	-90.655	-46.076065	9.690781	-40.908073	-41.999332	-21.50483	Tanzania	Anopheles_gambiae	62	AG1000G-TZ	David Weetman	Muheza	2013	1.0	-4.94	38.948	F	gambiae	gambiae
AC0091-Cx	-89.5011	-32.480686	0.21702582	-42.766075	-39.29294	-21.827773999999998	Uganda	Anopheles_gambiae	62	AG1000G-UG	Martin Donnelly	Nagongera	2012	10.0	0.77	34.025999999999996	F	gambiae	gambiae
AQ0014-C	-74.30539	-21.243523	-3.4278696	-37.70575	-32.528378000000004	-18.818361	Equatorial Guinea	Anopheles_gambiae	62	AG1000G-GQ	Igor Sharakhov	Bioko	2002	9.0	3.7	8.7	F	gambiae	gambiae
AK0099-C	-86.46542	-10.896397	-14.565897	-46.338867	-34.147667	-23.36116	Kenya	Anopheles_gambiae	55	AG1000G-KE	Janet Midega	Kilifi	2012	-1.0	-3.511	39.909	F	gambiae	gcx3
AN0623-CW	-66.23148	24.657870000000003	-33.68093	-50.79714	-26.368937	-23.185228	Cameroon	Anopheles_coluzzii	62	AG1000G-CM-C	Brad White	Nkolondom	2013	10.0	3.972	11.515999999999998	F	coluzzii	coluzzii
AC0209-C	-91.48255	-18.173313	-10.868888	-47.312634	-37.212044	-23.824259	Uganda	Anopheles_gambiae	62	AG1000G-UG	Martin Donnelly	Kihihi	2012	10.0	-0.7509999999999999	29.701	F	gambiae	gambiae
AV0341-C	-75.42950400000001	-18.460094	-5.8137193	-38.928622999999995	-32.288364	-19.35734	Guinea	Anopheles_gambiae	61	AG1000G-GN-B	Ken Vernick	Koraboh	2012	10.0	9.28	-10.03	M	gambiae	gambiae
AN0054-C	-83.642815	-18.214956	-8.804433	-42.720127000000005	-34.318356	-21.794	Cameroon	Anopheles_gambiae	60	AG1000G-CM-A	Nora Besansky	Gado Badzere	2009	9.0	5.747000000000001	14.442	F	gambiae	gambiae
AA0095-C	-81.350296	-13.536026000000001	-11.131171	-43.366653	-33.31438	-21.611057000000002	Ghana	Anopheles_gambiae	61	AG1000G-GH	David Weetman	Koforidua	2012	11.0	6.093999999999999	-0.261	F	gambiae	gambiae
AZ0484-CW	-72.78045999999999	2.0683721999999998	-19.22627	-43.857403000000005	-28.948132	-20.98698	Mali	Anopheles_gambiae	57	AG1000G-ML-A	Austin Burt	Tieneguebougou	2014	8.0	12.81	-8.08	M	gambiae	gambiae
AG0285-C	-88.62597	6.3482400000000005	-26.648613	-54.04979	-34.16946	-26.018856	Gambia, The	Anopheles_coluzzii	62	AG1000G-GM-C	Charles Godfray	Wali Kunda	2012	10.0	13.567	-14.917	F	coluzzii	gcx2
AV0245-C	-89.422966	10.632638	-29.735806	-56.651653	-34.425266	-26.763315000000002	Mali	Anopheles_coluzzii	62	AG1000G-GN-B	Ken Vernick	Takan	2012	10.0	11.47	-8.33	F	coluzzii	coluzzii
AQ0002-C	-75.88675	-23.435420999999998	-2.4515047	-37.66064	-33.166283	-19.184936999999998	Equatorial Guinea	Anopheles_gambiae	62	AG1000G-GQ	Igor Sharakhov	Bioko	2002	9.0	3.7	8.7	F	gambiae	gambiae
BK0019-C	-79.1947	-23.457787	-3.4526644	-39.42962	-34.306459999999994	-20.024082	Central African Republic	Anopheles_gambiae	62	AG1000G-CF	Alessandra della Torre	Bangui	1994	1.0	4.367	18.583	F	gambiae	gambiae
AV0402-C	-97.73233	-27.967515999999996	-6.0027870000000005	-47.139340000000004	-40.080288	-24.988357999999998	Mali	Anopheles_gambiae	61	AG1000G-GN-B	Ken Vernick	Toumani Oulena	2012	10.0	10.83	-7.81	F	gambiae	gambiae
AN0486-C	-91.50191	5.9827129999999995	-27.2313	-55.585148	-35.195984	-26.679160999999997	Cameroon	Anopheles_coluzzii	62	AG1000G-CM-B	Nora Besansky	Badankali	2005	-1.0	8.66	13.529000000000002	F	coluzzii	coluzzii
AC0048-Cx	-90.40719	-79.565674	32.954308000000005	-42.338190000000004	-54.475338	-27.731303999999998	Uganda	Anopheles_arabiensis	62	AG1000G-UG	Martin Donnelly	Nagongera	2012	10.0	0.77	34.025999999999996	F	arabiensis	arabiensis
BL0136-C	-74.80124	-64.95891999999999	26.901112	-35.561005	-45.599255	-21.981241	Tanzania	Anopheles_arabiensis	61	AG1000G-TZ	Bilali Kabula	Muleba	2015	6.0	-1.962	31.651	F	arabiensis	arabiensis
AN0214-C	-87.201385	-30.524936999999998	-0.6598329	-41.519695	-37.704685	-21.712683	Cameroon	Anopheles_gambiae	62	AG1000G-CM-A	Nora Besansky	Mayos	2009	9.0	4.341	13.558	F	gambiae	gambiae
AA0105-C	-83.94791	-13.251284	-12.136003500000001	-44.743057	-33.931805	-22.428268	Ghana	Anopheles_gambiae	62	AG1000G-GH	David Weetman	Koforidua	2012	11.0	6.093999999999999	-0.261	F	gambiae	gambiae
AV0382-C	-87.0396	-23.745820000000002	-5.766727400000001	-43.039085	-36.258305	-22.148155	Mali	Anopheles_gambiae	62	AG1000G-GN-B	Ken Vernick	Toumani Oulena	2012	10.0	10.83	-7.81	F	gambiae	gambiae
AG0159-C	-91.5814	-7.2743635	-18.630371	-50.354633	-35.441982	-25.402159	Gambia, The	Anopheles_gambiae	62	AG1000G-GM-A	Martin Donnelly	Njabakunda	2011	8.0	13.55	-15.9	F	gambiae	gcx1
AA0060-C	-69.82941	-15.813776	-6.0807314	-36.75258	-30.30756	-18.189358	Ghana	Anopheles_gambiae	62	AG1000G-GH	David Weetman	Madina	2012	11.0	5.667999999999999	-0.21899999999999997	F	gambiae	gambiae
AG0231-C	-89.00952	-4.9584117	-19.47616	-49.88993	-34.599903000000005	-24.914854000000002	Gambia, The	Anopheles_gambiae	62	AG1000G-GM-A	Martin Donnelly	Njabakunda	2011	10.0	13.55	-15.9	F	gambiae	gcx1
BK0039-C	-74.71048	-19.086018	-5.0460453	-38.759598	-32.680782	-18.860214000000003	Central African Republic	Anopheles_gambiae	62	AG1000G-CF	Alessandra della Torre	Bangui	1994	1.0	4.367	18.583	F	gambiae	gambiae
BK0081-C	-72.505424	24.119987	-35.29808	-54.092119999999994	-28.774387	-24.430285	Central African Republic	Anopheles_coluzzii	62	AG1000G-CF	Alessandra della Torre	Bangui	1994	1.0	4.367	18.583	F	coluzzii	coluzzii
AG0358-C	-78.9649	6.7383084	-24.028172	-49.373573	-31.044518	-23.218892999999998	Gambia, The	Anopheles_coluzzii	59	AG1000G-GM-C	Charles Godfray	Wali Kunda	2012	10.0	13.567	-14.917	F	coluzzii	gcx2
AC0053-C	-86.84331	-80.963684	34.547623	-41.631209999999996	-55.431377000000005	-27.679841999999997	Uganda	Anopheles_arabiensis	62	AG1000G-UG	Martin Donnelly	Nagongera	2012	10.0	0.77	34.025999999999996	F	arabiensis	arabiensis
AP0022-C	-109.73833	-55.5262	11.246772	-48.165707	-49.720515999999996	-26.102510000000002	Mayotte	Anopheles_gambiae	60	AG1000G-FR	Igor Sharakhov	Karihani Lake	2011	-1.0	-12.797	45.122	F	gambiae	gambiae
